Tool,Seq1,Seq2,Inputfile_ID,start_pos1,start_pos2,Insertions,Deletions,Mismatches,Is_Inverse,Seq2_Is_Translocated,Total_Length
mumer,NC_004431.1,CP041955.1,3,10539,605714,1,0,14,False,False,149
mumer,NC_004431.1,CP041955.1,3,10714,801109,5,1,109,False,False,5466
mumer,NC_004431.1,CP041955.1,3,16163,807911,1,3,25,False,False,445
mumer,NC_004431.1,CP041955.1,3,20612,808431,4,2,242,False,False,2364
mumer,NC_004431.1,CP041955.1,3,23024,815249,2,2,225,False,False,7423
mumer,NC_004431.1,CP041955.1,3,30872,822715,30,15,549,False,False,22101
mumer,NC_004431.1,CP041955.1,3,53591,844888,0,0,147,False,False,7779
mumer,NC_004431.1,CP041955.1,3,61489,854192,1,1,185,False,False,6143
mumer,NC_004431.1,CP041955.1,3,68341,860332,0,0,175,False,False,5410
mumer,NC_004431.1,CP041955.1,3,75553,865717,4,4,269,False,False,6385
mumer,NC_004431.1,CP041955.1,3,82685,873359,17,0,738,False,False,32653
mumer,NC_004431.1,CP041955.1,3,116751,906128,3,2,224,False,False,10032
mumer,NC_004431.1,CP041955.1,3,132297,916467,0,1,80,False,False,5787
mumer,NC_004431.1,CP041955.1,3,138114,922400,0,0,20,False,False,1496
mumer,NC_004431.1,CP041955.1,3,139781,923895,1,0,56,False,False,374
mumer,NC_004431.1,CP041955.1,3,140161,924372,3,26,304,False,False,8846
mumer,NC_004431.1,CP041955.1,3,149003,933315,0,48,256,False,False,9112
mumer,NC_004431.1,CP041955.1,3,158261,942265,8,15,185,False,False,2237
mumer,NC_004431.1,CP041955.1,3,161436,945406,6,6,170,False,False,829
mumer,NC_004431.1,CP041955.1,3,162975,946945,17,25,801,False,False,4505
mumer,NC_004431.1,CP041955.1,3,167860,951828,0,0,238,False,False,7222
mumer,NC_004431.1,CP041955.1,3,175093,959162,1,0,171,False,False,3885
mumer,NC_004431.1,CP041955.1,3,179311,963366,0,0,234,False,False,4598
mumer,NC_004431.1,CP041955.1,3,183940,968118,0,0,142,False,False,8750
mumer,NC_004431.1,CP041955.1,3,193399,976866,36,0,42,False,False,1897
mumer,NC_004431.1,CP041955.1,3,195386,979605,0,0,100,False,False,5518
mumer,NC_004431.1,CP041955.1,3,200914,985256,0,0,10,False,False,1892
mumer,NC_004431.1,CP041955.1,3,202809,987293,3,4,506,False,False,23230
mumer,NC_004431.1,CP041955.1,3,227595,1010692,6,2,192,False,True,9192
mumer,NC_004431.1,CP041955.1,3,235040,302659,1,0,10,False,False,1754
mumer,NC_004431.1,CP041955.1,3,235040,1217515,1,1,21,False,True,1754
mumer,NC_004431.1,CP041955.1,3,234950,503560,3,2,23,False,False,1834
mumer,NC_004431.1,CP041955.1,3,237038,1219521,2,11,34,False,True,3247
mumer,NC_004431.1,CP041955.1,3,237038,345832,10,2,34,False,True,3255
mumer,NC_004431.1,CP041955.1,3,238830,157728,4,2,20,False,False,1456
mumer,NC_004431.1,CP041955.1,3,236912,1020028,5,3,89,False,True,6461
mumer,NC_004431.1,CP041955.1,3,237038,62316,7,3,34,False,False,3376
mumer,NC_004431.1,CP041955.1,3,236912,505538,2,11,39,False,True,3377
mumer,NC_004431.1,CP041955.1,3,237038,304666,2,0,24,False,False,2504
mumer,NC_004431.1,CP041955.1,3,243564,1026460,1,1,92,False,False,5074
mumer,NC_004431.1,CP041955.1,3,250131,2883906,0,0,28,False,True,370
mumer,NC_004431.1,CP041955.1,3,257752,49194,0,0,26,False,False,340
mumer,NC_004431.1,CP041955.1,3,257752,2838945,0,0,104,False,True,950
mumer,NC_004431.1,CP041955.1,3,258206,49685,2,1,28,False,False,377
mumer,NC_004431.1,CP041955.1,3,259225,50072,6,5,54,False,False,1239
mumer,NC_004431.1,CP041955.1,3,259268,3015195,5,5,95,False,True,2571
mumer,NC_004431.1,CP041955.1,3,259268,2839911,0,0,52,False,False,1186
mumer,NC_004431.1,CP041955.1,3,260853,2841260,1,13,108,False,False,983
mumer,NC_004431.1,CP041955.1,3,264176,2842301,9,22,302,False,False,4500
mumer,NC_004431.1,CP041955.1,3,268878,3023791,1,2,18,False,True,251
mumer,NC_004431.1,CP041955.1,3,268878,2850101,1,2,16,False,False,251
mumer,NC_004431.1,CP041955.1,3,269120,3024470,1,1,10,False,True,293
mumer,NC_004431.1,CP041955.1,3,269120,2850780,0,1,11,False,False,292
mumer,NC_004431.1,CP041955.1,3,281719,3026724,2,5,85,False,False,1180
mumer,NC_004431.1,CP041955.1,3,286034,3029324,0,0,2,False,False,78
mumer,NC_004431.1,CP041955.1,3,286270,3030046,2,2,44,False,True,443
mumer,NC_004431.1,CP041955.1,3,288360,59571,1,0,39,False,False,423
mumer,NC_004431.1,CP041955.1,3,298468,1949444,11,0,49,False,False,899
mumer,NC_004431.1,CP041955.1,3,299549,4170940,2,10,163,False,True,9916
mumer,NC_004431.1,CP041955.1,3,305018,32926,3,0,16,False,False,140
mumer,NC_004431.1,CP041955.1,3,309658,1950779,2,2,105,False,False,906
mumer,NC_004431.1,CP041955.1,3,331374,1963586,2,1,3,False,False,527
mumer,NC_004431.1,CP041955.1,3,333165,3032289,2,0,54,False,False,757
mumer,NC_004431.1,CP041955.1,3,334360,4786588,2,1,44,False,True,552
mumer,NC_004431.1,CP041955.1,3,348569,1063891,1,0,181,False,False,6583
mumer,NC_004431.1,CP041955.1,3,355394,1071312,1,0,56,False,False,755
mumer,NC_004431.1,CP041955.1,3,356350,1072890,0,0,155,False,False,3592
mumer,NC_004431.1,CP041955.1,3,359935,1077234,1,0,27,False,False,628
mumer,NC_004431.1,CP041955.1,3,360564,1077991,0,0,2,False,False,223
mumer,NC_004431.1,CP041955.1,3,361805,1078205,0,1,230,False,False,8497
mumer,NC_004431.1,CP041955.1,3,377496,1086699,0,0,11,False,False,151
mumer,NC_004431.1,CP041955.1,3,377956,1138108,11,5,363,False,False,10982
mumer,NC_004431.1,CP041955.1,3,395160,1149084,4,3,268,False,False,4788
mumer,NC_004431.1,CP041955.1,3,400086,1154032,1,6,64,False,False,1122
mumer,NC_004431.1,CP041955.1,3,401932,1155186,2,3,204,False,False,8039
mumer,NC_004431.1,CP041955.1,3,415965,1163220,16,7,732,False,False,18704
mumer,NC_004431.1,CP041955.1,3,434653,1182752,3,6,202,False,False,4695
mumer,NC_004431.1,CP041955.1,3,439245,1187434,0,0,3,False,False,100
mumer,NC_004431.1,CP041955.1,3,439245,1187620,8,3,278,False,True,7697
mumer,NC_004431.1,CP041955.1,3,439245,1187527,0,0,2,False,False,100
mumer,NC_004431.1,CP041955.1,3,446885,1199139,1,2,177,False,False,6391
mumer,NC_004431.1,CP041955.1,3,453337,1214650,1,4,96,False,False,3320
mumer,NC_004431.1,CP041955.1,3,456653,1219415,3,2,177,False,False,3664
mumer,NC_004431.1,CP041955.1,3,460331,1223879,67,1,210,False,False,4897
mumer,NC_004431.1,CP041955.1,3,465329,1228941,0,0,7,False,False,248
mumer,NC_004431.1,CP041955.1,3,466885,1230332,4,2,296,False,False,12957
mumer,NC_004431.1,CP041955.1,3,479919,1243280,8,29,490,False,False,19074
mumer,NC_004431.1,CP041955.1,3,499128,1262343,1,2,111,False,False,6024
mumer,NC_004431.1,CP041955.1,3,505150,1268503,1,1,213,False,False,7054
mumer,NC_004431.1,CP041955.1,3,512204,1275682,4,15,520,False,False,30010
mumer,NC_004431.1,CP041955.1,3,542915,1305671,1,2,632,False,False,29557
mumer,NC_004431.1,CP041955.1,3,572524,1335383,4,1,228,False,False,10165
mumer,NC_004431.1,CP041955.1,3,583087,1345617,0,0,5,False,False,347
mumer,NC_004431.1,CP041955.1,3,583454,1346141,0,1,167,False,False,5570
mumer,NC_004431.1,CP041955.1,3,590389,1351733,0,1,228,False,False,8406
mumer,NC_004431.1,CP041955.1,3,598925,1367429,1,3,415,False,False,12947
mumer,NC_004431.1,CP041955.1,3,611891,1380492,63,1,280,False,False,10000
mumer,NC_004431.1,CP041955.1,3,622283,1390528,0,1,123,False,False,4602
mumer,NC_004431.1,CP041955.1,3,626967,1401922,0,0,11,False,False,183
mumer,NC_004431.1,CP041955.1,3,628029,2151267,0,0,34,False,True,923
mumer,NC_004431.1,CP041955.1,3,630712,1403092,1,1,243,False,False,9892
mumer,NC_004431.1,CP041955.1,3,640605,1413110,0,82,186,False,False,8407
mumer,NC_004431.1,CP041955.1,3,649003,1422203,1,2,9,False,False,118
mumer,NC_004431.1,CP041955.1,3,649769,1439815,3,2,72,False,False,1822
mumer,NC_004431.1,CP041955.1,3,651576,1442972,0,0,320,False,False,8633
mumer,NC_004431.1,CP041955.1,3,660512,1451877,0,0,269,False,False,6288
mumer,NC_004431.1,CP041955.1,3,666797,1458348,1,1,230,False,False,7293
mumer,NC_004431.1,CP041955.1,3,674183,1465804,83,6,546,False,False,9711
mumer,NC_004431.1,CP041955.1,3,684088,1477120,5,4,361,False,False,16960
mumer,NC_004431.1,CP041955.1,3,701049,1494479,0,0,3,False,False,152
mumer,NC_004431.1,CP041955.1,3,701194,1494828,2,3,243,False,False,14301
mumer,NC_004431.1,CP041955.1,3,715536,1517101,1,1,143,False,False,4510
mumer,NC_004431.1,CP041955.1,3,722221,1521771,4,3,268,False,False,10034
mumer,NC_004431.1,CP041955.1,3,732281,1531972,0,0,160,False,False,6424
mumer,NC_004431.1,CP041955.1,3,747836,1538442,7,0,43,False,False,1790
mumer,NC_004431.1,CP041955.1,3,750373,1540403,0,2,165,False,False,7267
mumer,NC_004431.1,CP041955.1,3,757627,1549347,0,0,86,False,False,2833
mumer,NC_004431.1,CP041955.1,3,760687,1552177,2,2,101,False,True,622
mumer,NC_004431.1,CP041955.1,3,761796,1549151,0,0,12,False,False,139
mumer,NC_004431.1,CP041955.1,3,761784,1553245,1,2,321,False,False,8345
mumer,NC_004431.1,CP041955.1,3,770138,1571158,1,1,139,False,False,1939
mumer,NC_004431.1,CP041955.1,3,772095,1573222,2,1,299,False,False,7288
mumer,NC_004431.1,CP041955.1,3,779417,1585287,2,1,115,False,False,5397
mumer,NC_004431.1,CP041955.1,3,784911,1590592,0,61,90,False,False,4434
mumer,NC_004431.1,CP041955.1,3,789359,1595251,0,0,46,False,False,2184
mumer,NC_004431.1,CP041955.1,3,794042,1603658,0,1,124,False,False,9259
mumer,NC_004431.1,CP041955.1,3,803283,1612998,0,0,0,False,False,207
mumer,NC_004431.1,CP041955.1,3,803472,1613285,0,0,3,False,False,231
mumer,NC_004431.1,CP041955.1,3,803620,1613655,2,27,21,False,True,347
mumer,NC_004431.1,CP041955.1,3,803705,1613616,0,0,3,False,False,115
mumer,NC_004431.1,CP041955.1,3,803911,1614077,0,1,90,False,False,2464
mumer,NC_004431.1,CP041955.1,3,806374,1617092,4,12,517,False,True,21098
mumer,NC_004431.1,CP041955.1,3,824898,1412979,0,0,0,False,False,128
mumer,NC_004431.1,CP041955.1,3,824900,3973617,0,0,1,False,True,126
mumer,NC_004431.1,CP041955.1,3,827468,1638270,0,0,47,False,False,1926
mumer,NC_004431.1,CP041955.1,3,830681,1640192,0,0,290,False,False,7655
mumer,NC_004431.1,CP041955.1,3,838332,1647997,4,4,552,False,False,16962
mumer,NC_004431.1,CP041955.1,3,855291,1665255,1,0,171,False,False,6274
mumer,NC_004431.1,CP041955.1,3,861727,1671518,1,0,204,False,False,6358
mumer,NC_004431.1,CP041955.1,3,868092,1678028,2,4,260,False,False,11979
mumer,NC_004431.1,CP041955.1,3,880133,1691525,1,11,660,False,False,28752
mumer,NC_004431.1,CP041955.1,3,942351,1720252,11,9,283,False,False,11680
mumer,NC_004431.1,CP041955.1,3,954022,1732095,75,64,1212,False,True,47306
mumer,NC_004431.1,CP041955.1,3,969144,1704652,1,0,18,False,False,274
mumer,NC_004431.1,CP041955.1,3,1001257,1782565,4,5,779,False,False,34037
mumer,NC_004431.1,CP041955.1,3,1035289,1816768,2,1,183,False,False,8738
mumer,NC_004431.1,CP041955.1,3,1044241,1825569,0,1,219,False,False,4275
mumer,NC_004431.1,CP041955.1,3,1048591,1837713,1,0,78,False,False,3015
mumer,NC_004431.1,CP041955.1,3,1051604,1840873,2,15,486,False,False,24350
mumer,NC_004431.1,CP041955.1,3,1076165,1865252,0,0,237,False,False,9531
mumer,NC_004431.1,CP041955.1,3,1085706,1883064,2,1,340,False,False,11564
mumer,NC_004431.1,CP041955.1,3,1097346,1894503,6,4,37,False,False,1539
mumer,NC_004431.1,CP041955.1,3,1098879,1897297,13,2,106,False,False,3134
mumer,NC_004431.1,CP041955.1,3,1101977,1900581,0,0,344,False,False,12336
mumer,NC_004431.1,CP041955.1,3,1114425,1913352,10,17,313,False,False,12963
mumer,NC_004431.1,CP041955.1,3,1127426,1929201,0,0,9,False,False,116
mumer,NC_004431.1,CP041955.1,3,1127426,1929382,1,5,134,False,True,7245
mumer,NC_004431.1,CP041955.1,3,1127467,1929061,0,0,3,False,False,75
mumer,NC_004431.1,CP041955.1,3,1134967,1936770,2,4,74,False,True,959
mumer,NC_004431.1,CP041955.1,3,1140273,660171,0,1,26,False,False,775
mumer,NC_004431.1,CP041955.1,3,1141036,661187,0,0,7,False,False,330
mumer,NC_004431.1,CP041955.1,3,1141440,662517,4,4,216,False,True,1395
mumer,NC_004431.1,CP041955.1,3,1142987,60295,13,5,42,False,False,474
mumer,NC_004431.1,CP041955.1,3,1142987,1950533,13,8,76,False,True,618
mumer,NC_004431.1,CP041955.1,3,1170324,69046,0,2,34,False,False,553
mumer,NC_004431.1,CP041955.1,3,1171317,1823139,0,0,30,False,False,742
mumer,NC_004431.1,CP041955.1,3,1174408,1926345,1,2,93,False,False,653
mumer,NC_004431.1,CP041955.1,3,1184175,1949440,2,6,181,False,True,2232
mumer,NC_004431.1,CP041955.1,3,1185224,60250,1,1,59,False,False,517
mumer,NC_004431.1,CP041955.1,3,1196879,4191199,0,0,7,False,True,1102
mumer,NC_004431.1,CP041955.1,3,1212460,2147140,1,1,0,False,False,527
mumer,NC_004431.1,CP041955.1,3,1212977,4291203,0,0,0,False,True,797
mumer,NC_004431.1,CP041955.1,3,1224320,1831431,1,0,39,False,False,963
mumer,NC_004431.1,CP041955.1,3,1224311,2005113,0,0,39,False,False,971
mumer,NC_004431.1,CP041955.1,3,1227649,2008219,2,2,73,False,True,1084
mumer,NC_004431.1,CP041955.1,3,1227649,1837116,2,2,68,False,False,1087
mumer,NC_004431.1,CP041955.1,3,1232004,4803605,1,15,139,False,True,1158
mumer,NC_004431.1,CP041955.1,3,1232151,2013956,2,15,87,False,True,984
mumer,NC_004431.1,CP041955.1,3,1232150,1838423,81,6,107,False,False,2337
mumer,NC_004431.1,CP041955.1,3,1233452,4804879,6,1,46,False,False,960
mumer,NC_004431.1,CP041955.1,3,1236821,4805837,0,4,15,False,True,274
mumer,NC_004431.1,CP041955.1,3,1236816,1840748,0,0,9,False,False,242
mumer,NC_004431.1,CP041955.1,3,1236816,2016032,0,0,16,False,True,242
mumer,NC_004431.1,CP041955.1,3,1237608,1840990,0,0,54,False,False,514
mumer,NC_004431.1,CP041955.1,3,1237608,2016274,1,12,189,False,False,1727
mumer,NC_004431.1,CP041955.1,3,1240042,2017986,0,3,199,False,False,6949
mumer,NC_004431.1,CP041955.1,3,1246983,2025700,14,14,857,False,False,41421
mumer,NC_004431.1,CP041955.1,3,1288381,2067875,8,25,349,False,False,23338
mumer,NC_004431.1,CP041955.1,3,1312416,2091182,6,5,531,False,False,20721
mumer,NC_004431.1,CP041955.1,3,1333456,2112340,0,0,3,False,False,156
mumer,NC_004431.1,CP041955.1,3,1334491,2113573,9,2,107,False,False,4062
mumer,NC_004431.1,CP041955.1,3,1338868,2117666,0,0,111,False,False,1078
mumer,NC_004431.1,CP041955.1,3,1340251,2119053,0,1,30,False,True,1307
mumer,NC_004431.1,CP041955.1,3,1341545,1943542,1,2,13,False,False,726
mumer,NC_004431.1,CP041955.1,3,1342262,2120352,5,2,17,False,False,262
mumer,NC_004431.1,CP041955.1,3,1343221,2121260,0,1,48,False,False,1896
mumer,NC_004431.1,CP041955.1,3,1345409,2123174,0,1,61,False,True,825
mumer,NC_004431.1,CP041955.1,3,1345996,1102268,0,1,48,False,False,667
mumer,NC_004431.1,CP041955.1,3,1347362,1102968,2,2,21,False,False,264
mumer,NC_004431.1,CP041955.1,3,1362556,1116854,3,3,160,False,False,1039
mumer,NC_004431.1,CP041955.1,3,1362556,2138035,3,3,146,False,False,1039
mumer,NC_004431.1,CP041955.1,3,1367682,2142632,1,1,99,False,True,1123
mumer,NC_004431.1,CP041955.1,3,1368136,1121923,2,0,94,False,False,670
mumer,NC_004431.1,CP041955.1,3,1369408,1123509,0,0,20,False,False,160
mumer,NC_004431.1,CP041955.1,3,1369408,2144670,0,0,21,False,False,160
mumer,NC_004431.1,CP041955.1,3,1371701,2151310,1,1,118,False,False,6059
mumer,NC_004431.1,CP041955.1,3,1389204,2157361,0,2,172,False,True,8118
mumer,NC_004431.1,CP041955.1,3,1421662,1101542,0,0,53,False,False,970
mumer,NC_004431.1,CP041955.1,3,1422383,2123755,2,0,61,False,True,910
mumer,NC_004431.1,CP041955.1,3,1438404,1116461,2,2,88,False,False,1499
mumer,NC_004431.1,CP041955.1,3,1438352,2137590,1,1,109,False,False,1550
mumer,NC_004431.1,CP041955.1,3,1440130,2139344,0,1,145,False,True,3404
mumer,NC_004431.1,CP041955.1,3,1440130,1118163,0,0,153,False,False,3333
mumer,NC_004431.1,CP041955.1,3,1451721,1132261,0,3,14,False,False,165
mumer,NC_004431.1,CP041955.1,3,1452236,2166292,3,5,181,False,False,4848
mumer,NC_004431.1,CP041955.1,3,1457084,2171806,5,1,101,False,False,2546
mumer,NC_004431.1,CP041955.1,3,1459625,2175086,0,0,8,False,False,232
mumer,NC_004431.1,CP041955.1,3,1459856,2175710,1,21,163,False,True,7967
mumer,NC_004431.1,CP041955.1,3,1461206,1187732,1,0,42,False,False,356
mumer,NC_004431.1,CP041955.1,3,1461560,1192353,1,0,16,False,False,355
mumer,NC_004431.1,CP041955.1,3,1467872,2184403,3,1,105,False,False,5112
mumer,NC_004431.1,CP041955.1,3,1473135,2189556,0,0,61,False,False,4248
mumer,NC_004431.1,CP041955.1,3,1477425,2194175,0,0,139,False,False,4726
mumer,NC_004431.1,CP041955.1,3,1488945,2199585,1,0,139,False,False,7242
mumer,NC_004431.1,CP041955.1,3,1496595,2210567,0,4,298,False,False,12836
mumer,NC_004431.1,CP041955.1,3,1508961,2224003,13,7,176,False,True,9206
mumer,NC_004431.1,CP041955.1,3,1508961,2223468,1,5,30,False,False,477
mumer,NC_004431.1,CP041955.1,3,1518154,2233325,0,0,195,False,False,7050
mumer,NC_004431.1,CP041955.1,3,1520827,2384838,0,0,42,False,False,255
mumer,NC_004431.1,CP041955.1,3,1522649,2386657,2,2,85,False,True,468
mumer,NC_004431.1,CP041955.1,3,1532207,2240730,0,0,10,False,False,203
mumer,NC_004431.1,CP041955.1,3,1532207,2240908,2,1,7,False,True,323
mumer,NC_004431.1,CP041955.1,3,1532207,2240552,0,0,8,False,False,203
mumer,NC_004431.1,CP041955.1,3,1532508,2241385,3,1,112,False,False,6899
mumer,NC_004431.1,CP041955.1,3,1540496,2249219,5,2,355,False,False,19174
mumer,NC_004431.1,CP041955.1,3,1559665,2268710,6,2,480,False,False,14359
mumer,NC_004431.1,CP041955.1,3,1574727,2283065,0,0,81,False,False,4648
mumer,NC_004431.1,CP041955.1,3,1579367,2288481,21,1,296,False,False,16108
mumer,NC_004431.1,CP041955.1,3,1603358,2305263,0,0,137,False,False,6068
mumer,NC_004431.1,CP041955.1,3,1609422,2320178,62,13,876,False,False,23986
mumer,NC_004431.1,CP041955.1,3,1634010,2344150,0,0,130,False,False,8414
mumer,NC_004431.1,CP041955.1,3,1642543,2357757,1,2,48,False,False,330
mumer,NC_004431.1,CP041955.1,3,1644621,2358196,0,0,112,False,False,5973
mumer,NC_004431.1,CP041955.1,3,1652854,2364280,1,0,275,False,False,11158
mumer,NC_004431.1,CP041955.1,3,1664010,2394242,10,8,255,False,False,1926
mumer,NC_004431.1,CP041955.1,3,1669263,2399524,2,14,272,False,False,2272
mumer,NC_004431.1,CP041955.1,3,1671639,2404130,5,4,526,False,False,14509
mumer,NC_004431.1,CP041955.1,3,1686152,2420274,0,1,179,False,False,9496
mumer,NC_004431.1,CP041955.1,3,1695648,2431517,0,0,91,False,False,4333
mumer,NC_004431.1,CP041955.1,3,1699980,2436294,0,1,276,False,False,9410
mumer,NC_004431.1,CP041955.1,3,1709390,2447035,0,0,9,False,False,149
mumer,NC_004431.1,CP041955.1,3,1709539,2447490,0,4,200,False,True,5985
mumer,NC_004431.1,CP041955.1,3,1715791,1570164,0,1,9,False,False,135
mumer,NC_004431.1,CP041955.1,3,1715796,4547075,0,0,10,False,True,130
mumer,NC_004431.1,CP041955.1,3,1715771,1062626,0,0,12,False,False,155
mumer,NC_004431.1,CP041955.1,3,1728047,2464321,2,5,175,False,False,2912
mumer,NC_004431.1,CP041955.1,3,1731069,2467340,0,13,285,False,False,7959
mumer,NC_004431.1,CP041955.1,3,1734821,2619932,0,0,44,False,True,255
mumer,NC_004431.1,CP041955.1,3,1739037,2477248,4,1,149,False,False,6301
mumer,NC_004431.1,CP041955.1,3,1740365,4650893,9,9,240,False,True,1284
mumer,NC_004431.1,CP041955.1,3,1745755,2483651,1,1,138,False,False,4311
mumer,NC_004431.1,CP041955.1,3,1750133,2494135,0,2,69,False,False,2667
mumer,NC_004431.1,CP041955.1,3,1752846,2498063,4,23,531,False,False,22917
mumer,NC_004431.1,CP041955.1,3,1756314,4587793,3,3,72,False,True,1507
mumer,NC_004431.1,CP041955.1,3,1779039,2520956,1,0,14,False,False,235
mumer,NC_004431.1,CP041955.1,3,1781762,2521627,0,4,76,False,False,1851
mumer,NC_004431.1,CP041955.1,3,1783646,2538101,11,1,141,False,False,4668
mumer,NC_004431.1,CP041955.1,3,1788801,2542768,0,0,119,False,False,3955
mumer,NC_004431.1,CP041955.1,3,1792765,2547735,1,1,91,False,False,3351
mumer,NC_004431.1,CP041955.1,3,1802400,2551123,1,2,88,False,False,3947
mumer,NC_004431.1,CP041955.1,3,1806386,2556086,14,4,920,False,False,45695
mumer,NC_004431.1,CP041955.1,3,1852066,2601957,1,16,792,False,False,37662
mumer,NC_004431.1,CP041955.1,3,1889717,2643981,90,17,782,False,False,35230
mumer,NC_004431.1,CP041955.1,3,1924864,2679376,5,5,713,False,False,34999
mumer,NC_004431.1,CP041955.1,3,1959860,2715239,7,5,156,False,False,7571
mumer,NC_004431.1,CP041955.1,3,1967487,2723917,0,0,85,False,False,2680
mumer,NC_004431.1,CP041955.1,3,1970533,2727165,4,2,799,False,False,27030
mumer,NC_004431.1,CP041955.1,3,2002376,2755625,0,5,764,False,False,35912
mumer,NC_004431.1,CP041955.1,3,2038283,2792744,1,0,10,False,False,164
mumer,NC_004431.1,CP041955.1,3,2038469,2797268,13,15,1264,False,False,61840
mumer,NC_004431.1,CP041955.1,3,2100299,2859221,0,0,355,False,False,13053
mumer,NC_004431.1,CP041955.1,3,2113391,2873044,1,0,78,False,False,2376
mumer,NC_004431.1,CP041955.1,3,2115836,2875403,0,7,96,False,False,4484
mumer,NC_004431.1,CP041955.1,3,2120308,2881242,4,5,597,False,False,27917
mumer,NC_004431.1,CP041955.1,3,2140718,4314594,0,0,0,False,True,76
mumer,NC_004431.1,CP041955.1,3,2140718,4314483,0,0,0,False,False,76
mumer,NC_004431.1,CP041955.1,3,2140718,4314827,0,0,0,False,True,76
mumer,NC_004431.1,CP041955.1,3,2148926,2909148,0,0,50,False,False,2844
mumer,NC_004431.1,CP041955.1,3,2152754,2913201,0,2,216,False,False,7430
mumer,NC_004431.1,CP041955.1,3,2164320,2922039,3,26,504,False,False,21630
mumer,NC_004431.1,CP041955.1,3,2186851,2944562,1,5,227,False,False,6815
mumer,NC_004431.1,CP041955.1,3,2193887,2952368,0,0,17,False,False,461
mumer,NC_004431.1,CP041955.1,3,2216841,2952815,0,0,18,False,False,1158
mumer,NC_004431.1,CP041955.1,3,2250151,2954560,9,0,15,False,False,332
mumer,NC_004431.1,CP041955.1,3,2250475,2958585,1,0,21,False,False,475
mumer,NC_004431.1,CP041955.1,3,2250938,2959361,3,0,106,False,False,1616
mumer,NC_004431.1,CP041955.1,3,2252621,2961478,3,0,94,False,True,5634
mumer,NC_004431.1,CP041955.1,3,2258244,1812278,0,0,8,False,False,372
mumer,NC_004431.1,CP041955.1,3,2258512,3039322,0,0,73,False,True,4314
mumer,NC_004431.1,CP041955.1,3,2258512,1902209,0,0,1,False,False,104
mumer,NC_004431.1,CP041955.1,3,2316272,2929609,0,0,12,False,True,231
mumer,NC_004431.1,CP041955.1,3,2317208,1816843,0,0,55,False,False,4434
mumer,NC_004431.1,CP041955.1,3,2324842,2894266,1,7,191,False,False,1798
mumer,NC_004431.1,CP041955.1,3,2328409,3634187,0,0,121,False,False,2529
mumer,NC_004431.1,CP041955.1,3,2336026,4507930,1,0,22,False,True,295
mumer,NC_004431.1,CP041955.1,3,2336351,69033,0,1,34,False,False,565
mumer,NC_004431.1,CP041955.1,3,2337356,1823139,1,0,41,False,False,1367
mumer,NC_004431.1,CP041955.1,3,2338720,1825670,0,3,34,False,False,1756
mumer,NC_004431.1,CP041955.1,3,2340531,1827585,2,0,10,False,False,655
mumer,NC_004431.1,CP041955.1,3,2341182,2858867,0,2,3,False,False,1461
mumer,NC_004431.1,CP041955.1,3,2341184,3636765,0,0,6,False,True,1460
mumer,NC_004431.1,CP041955.1,3,2341184,1791913,1,0,6,False,False,1461
mumer,NC_004431.1,CP041955.1,3,2341185,3382864,0,0,6,False,True,1459
mumer,NC_004431.1,CP041955.1,3,2342637,1828243,1,0,62,False,False,692
mumer,NC_004431.1,CP041955.1,3,2345737,1828929,0,0,48,False,False,373
mumer,NC_004431.1,CP041955.1,3,2357803,1831423,1,0,15,False,False,292
mumer,NC_004431.1,CP041955.1,3,2358086,2005835,1,1,19,False,True,250
mumer,NC_004431.1,CP041955.1,3,2358086,1832145,1,1,15,False,False,250
mumer,NC_004431.1,CP041955.1,3,2358546,2009406,5,5,207,False,False,4448
mumer,NC_004431.1,CP041955.1,3,2364208,2013958,1,20,157,False,True,2336
mumer,NC_004431.1,CP041955.1,3,2365351,1839804,105,10,157,False,False,2777
mumer,NC_004431.1,CP041955.1,3,2365302,4804834,16,1,154,False,True,2256
mumer,NC_004431.1,CP041955.1,3,2367116,2016900,12,0,31,False,False,438
mumer,NC_004431.1,CP041955.1,3,2368023,2858192,0,0,10,False,True,158
mumer,NC_004431.1,CP041955.1,3,2368182,1846346,0,1,33,False,False,2613
mumer,NC_004431.1,CP041955.1,3,2370787,1850274,1,1,54,False,False,2900
mumer,NC_004431.1,CP041955.1,3,2373759,1854693,1,0,339,False,False,11483
mumer,NC_004431.1,CP041955.1,3,2401269,3054684,2,2,50,False,False,331
mumer,NC_004431.1,CP041955.1,3,2425434,3056855,0,0,68,False,False,1588
mumer,NC_004431.1,CP041955.1,3,2427029,3058834,0,0,35,False,False,3985
mumer,NC_004431.1,CP041955.1,3,2431015,3064273,14,66,410,False,False,9462
mumer,NC_004431.1,CP041955.1,3,2439889,3073420,1,1,595,False,False,12243
mumer,NC_004431.1,CP041955.1,3,2457333,3085684,0,0,49,False,False,1778
mumer,NC_004431.1,CP041955.1,3,2459280,3087461,1,2,290,False,False,8066
mumer,NC_004431.1,CP041955.1,3,2468073,3095544,2,0,257,False,False,10066
mumer,NC_004431.1,CP041955.1,3,2479112,3106580,0,0,128,False,False,4012
mumer,NC_004431.1,CP041955.1,3,2483833,3110588,2,0,187,False,False,4226
mumer,NC_004431.1,CP041955.1,3,2487871,3118438,1,1,108,False,False,1576
